"album","diff_energy"
"FIFAe (Official Soundtrack)","0.36"
"Human Clay","0.36"
"Christmas","0.36"
"There Is More (Live)","0.36"
"Beneath The Surface","0.36"
"The River","0.36"
"Black Panther: Wakanda Forever - Music From and Inspired By","0.36"
"Elvis (Fool)","0.36"
"Some Rap Songs","0.36"
"Goodbye","0.36"
"Spiceworld","0.36"
"Taal (Original Motion Picture Soundtrack)","0.36"
"Melim: Melhores do Meu 2020","0.36"
"Voices","0.36"
"ADHD","0.36"
"Gladiator: 20th Anniversary Edition","0.36"
"Platonicos","0.36"
"Break the Cycle","0.36"
"K.O.","0.36"
"When Seconds Count","0.36"
"Busca Una Mujer","0.36"
"Purple (2019 Remaster)","0.36"
"Ocean","0.36"
"Cássia Eller Em Casa","0.36"
"Voicenotes","0.36"
"Muzyka Komercyjna","0.36"
"Qala (Music From The Netflix Film)","0.36"
"Keep the Village Alive (Deluxe)","0.36"
"Mis Favoritas","0.36"
"In These Silent Days","0.36"
"Brahmastra (Original Motion Picture Soundtrack)","0.36"
"Hasta la Raíz (Edición Especial)","0.36"
"Title (Deluxe)","0.36"
"Back of My Mind","0.36"
"The Hardest Part","0.36"
"Soulful Sonu Nigam Specials","0.36"
"Long Way Down (Deluxe)","0.36"
"Blue","0.36"
"30","0.36"
"JORDI (Deluxe)","0.35"
"Shock Value II","0.35"
"To Believe","0.35"
"Over It","0.35"
"With You","0.35"
"Stripped","0.35"
"Time","0.35"
"Staying at Tamara's","0.35"
"Sob Rock","0.35"
"Lonerism","0.35"
"IL CORAGGIO DEI BAMBINI","0.35"
"Coast To Coast (Expanded Edition)","0.35"
"Overdue...","0.35"
"Tasty","0.35"
"Mini World (Deluxe)","0.35"
"F*CK LOVE 3+: OVER YOU","0.35"
"PAUL","0.35"
"15 Exitos De Oro","0.35"
"Never Too Much","0.35"
"Gipsy Kings","0.35"
"The Universe Smiles Upon You","0.35"
"The Weatherman","0.35"
"CoComelon Kids Hits, Vol. 2","0.35"
"4 (The Pink Album)","0.35"
"Devils Night","0.35"
"RAMONA PARK BROKE MY HEART","0.35"
"200 KM/H In The Wrong Lane (10th Anniversary Edition)","0.35"
"The Foundation","0.35"
"Woodface","0.35"
"WASTELAND","0.35"
"Agent Vinod","0.35"
"Millennium","0.35"
"10 De Coleccion","0.35"
"Different Man","0.35"
"System Of A Down","0.35"
"Plastic Hearts","0.35"
"Ivory (Marfil)","0.35"
"Cry Baby (Deluxe Edition)","0.35"
"Da' Take Over","0.35"
"GOD DID","0.35"
"The Joshua Tree (Super Deluxe)","0.35"
"Harlem World","0.35"
"Aaja Nachle","0.35"
"ENR","0.35"
"Romance","0.34"
"The Second Wave","0.34"
"Dan + Shay","0.34"
"Cannot Be, Whatsoever","0.34"
"Lata Dwudzieste","0.34"
"Couldn't Stand The Weather (Legacy Edition)","0.34"
"DOCE 22","0.34"
"World War Joy","0.34"
"Cleopatra","0.34"
"Debut","0.34"
"Brett Young","0.34"
"23","0.34"
"Instagram","0.34"
"SOLACE","0.34"
"MONTERO","0.34"
"The Andy Williams Christmas Album","0.34"
"L'Enfant Sauvage (Special Edition)","0.34"
"Life Changes","0.34"
"Unappreciated","0.34"
"Poison","0.34"
"Prisma","0.34"
"Big Willie Style","0.34"
"Hearts","0.34"
"Crowded House","0.34"
"Let's Talk About Love","0.34"
"Naturally","0.34"
"Vaaranam Aayiram (Original Motion Picture Soundtrack)","0.34"
"Cocktail","0.34"
"Memórias, Crônicas e Declarações de Amor","0.34"
"Sleeping With Ghosts","0.34"
"Return to the 36 Chambers: The Dirty Version","0.34"
"Double Fantasy","0.34"
"Living Hope","0.34"
"AM","0.34"
"Stankonia","0.34"
"Lofi Fruits Music 2021","0.34"
"Bloom","0.34"
"El Amor Que Merecemos","0.34"
"Survivor","0.34"
"Her Loss","0.34"
"The Outsiders","0.34"
"I","0.34"
"Lost on You","0.34"
"Dezemberträume","0.34"
"Hercules (Original Motion Picture Soundtrack)","0.34"
"Open Up And Say...Ahh! (20th Anniversary Edition)","0.34"
"thank u, next","0.34"
"No Strings Attached","0.34"
"Secrets","0.34"
"It Was Good Until It Wasn't","0.34"
"Barry White - The Collection","0.33"
"This is ARASHI","0.33"
"Mon Laferte (Vol. 1)","0.33"
"Fleetwood Mac","0.33"
"Love At First Sting","0.33"
"SIRIO","0.33"
"Out Of This World","0.33"
"Aretha Now","0.33"
"The Versatile Voice","0.33"
"Can't Buy A Thrill","0.33"
"hopeless fountain kingdom (Deluxe)","0.33"
"4 (Expanded)","0.33"
"Honey","0.33"
"Amor Prohibido","0.33"
"Busted Stuff","0.33"
"This Is What I Mean","0.33"
"Vida Cara","0.33"
"Hymn Of Heaven","0.33"
"The Little Mermaid Special Edition","0.33"
"The Second Wave Deluxe","0.33"
"The Bridge","0.33"
"Whenever You Need Somebody","0.33"
"Departure","0.33"
"Sing When You're Winning","0.33"
"The Wiggles Nursery Rhymes","0.33"
"Singable Songs for the Very Young","0.33"
"Bat Out Of Hell II: Back Into Hell","0.33"
"Teatro d'ira - Vol. I","0.33"
"The Bigger Artist","0.33"
"La Gritera","0.33"
"Nada Como um Dia Após o Outro Dia, Vol. 1 & 2","0.33"
"Perception","0.33"
"Vuelve a Casa","0.33"
"Für den Himmel durch die Hölle","0.33"
"Hotel California (2013 Remaster)","0.33"
"Veer - Zaara","0.33"
"Monokrom","0.33"
"Depression Cherry","0.33"
"Lukas Graham","0.33"
"Hoobastank (20th Anniversary Edition)","0.33"
"#NAME?","0.33"
